State_Code,County_Code,Parameter_Name,Metric_Used,Year,Arithmetic_Mean,Local_Site_Name,Address,State_Name,County_Name,City_Name
1,073,Carbon_monoxide,8-Hour running average (end hour) of observed hourly values,1990,1.617407,,"EAST_THOMAS,_FINLEY,_841_FINLEY_AVE._BP.",Alabama,Jefferson,Birmingham
1,073,Suspended_particulate_(TSP),Observed Values,1990,52.322034,,EAST_THOMAS_BSC_800_EIGHTH_AVE_WEST,Alabama,Jefferson,Birmingham
1,073,Suspended_particulate_(TSP),Observed Values,1990,57.639344,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Beryllium_(TSP)_STP,Observed Values,1990,0,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Barium_(TSP)_STP,Observed Values,1990,0,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Cadmium_(TSP)_STP,Observed Values,1990,0.001133,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Chromium_(TSP)_STP,Observed Values,1990,0.003,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Copper_(TSP)_STP,Observed Values,1990,0.723333,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Iron_(TSP)_STP,Observed Values,1990,1.078867,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Lead_(TSP)_STP,Observed Values,1990,0.033967,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Manganese_(TSP)_STP,Observed Values,1990,0.044333,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Molybdenum_(TSP)_STP,Observed Values,1990,0.000833,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Nickel_(TSP)_STP,Observed Values,1990,0.0013,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Vanadium_(TSP)_STP,Observed Values,1990,0.001667,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Zinc_(TSP)_STP,Observed Values,1990,0.1742,,"UAB,_GUY_TATE_BLDG.,_1400_6TH_AVE._SOUTH",Alabama,Jefferson,Birmingham
1,073,Carbon_monoxide,Obseved hourly values,1990,1.0095,,"UAB,_LANE_TCH._CTR.,_409_12TH_ST._SOUTH",Alabama,Jefferson,Birmingham
1,073,Carbon_monoxide,8-Hour running average (end hour) of observed hourly values,1990,1.016162,,"UAB,_LANE_TCH._CTR.,_409_12TH_ST._SOUTH",Alabama,Jefferson,Birmingham
1,073,Carbon_monoxide,Obseved hourly values,1990,1.217711,,_2014_FIRST_AVE_NORTH,Alabama,Jefferson,Birmingham
1,073,Carbon_monoxide,8-Hour running average (end hour) of observed hourly values,1990,1.224925,,_2014_FIRST_AVE_NORTH,Alabama,Jefferson,Birmingham
1,073,PM10_Total_0-10um_STP,Daily Mean,1990,40.311475,,"2301_11TH_AVE_NORTH,_BIRMINGHAM,_AL.",Alabama,Jefferson,Birmingham
1,073,Suspended_particulate_(TSP),Observed Values,1990,53.616667,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,Carbon_monoxide,Obseved hourly values,1990,0.82056,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,Carbon_monoxide,8-Hour running average (end hour) of observed hourly values,1990,0.826396,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,Sulfur_dioxide,Daily maximum 1-hour average,1990,20.370166,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,Sulfur_dioxide,Observed Values,1990,7.658351,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,Sulfur_dioxide,Daily Average of observed values,1990,7.664917,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,Sulfur_dioxide,3-Hour block average of observed hourly values,1990,7.609351,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,Ozone,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1990,0.055048,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
1,073,Ozone,Daily maximum of 8 hour running average of observed hourly values,1990,0.046233,Fairfield,"FAIRFIELD,_PFD,_5229_COURT_B",Alabama,Jefferson,Fairfield
