State_Code,County_Code,Parameter_Code,Metric_Used,Year,Arithmetic_Mean,Local_Site_Name,Address,State_Name,County_Name,City_Name
1,073,43832,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43835,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43835,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43836,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43836,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43838,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43838,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43860,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,43860,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,44201,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),1992,0.051019,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.043396,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,44201,Daily maximum of 8 hour running average of observed hourly values,1992,0.043396,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45111,Observed Values,1992,1.925,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45111,Observed Values,1992,3,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45112,Observed Values,1992,0.9,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45112,Observed Values,1992,1.5,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45201,Observed Values,1992,1.8,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45201,Observed Values,1992,2.28,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45202,Observed Values,1992,3.8125,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45202,Observed Values,1992,6.5,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45203,Observed Values,1992,0.1,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45203,Observed Values,1992,0,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45220,Observed Values,1992,0.625,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45220,Observed Values,1992,1,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
1,073,45801,Observed Values,1992,0.03,,"PINSON,_HIGH_SCH.,_BOX_360_HWY_75_NORTH",Alabama,Jefferson,Pinson
